station,time,item,value,unit
大城站,04,乙烷,6.26,ppb
大城站,04,乙烯,5.3,ppb
大城站,04,丙烷,9.2,ppb
大城站,04,丙烯,2.3,ppb
大城站,04,異丁烷,3.89,ppb
大城站,04,正丁烷,8.63,ppb
大城站,04,乙炔,3.65,ppb
大城站,04,反2-丁烯,0.53,ppb
大城站,04,1-丁烯,1.12,ppb
大城站,04,順2-丁烯,0.31,ppb
大城站,04,環戊烷,0,ppb
大城站,04,異戊烷,4.21,ppb
大城站,04,正戊烷,4.55,ppb
大城站,04,反2-戊烯,0.36,ppb
大城站,04,1-戊烯,0.27,ppb
大城站,04,順2-戊烯,0.16,ppb
大城站,04,2-2-二甲基丁烷,0.09,ppb
大城站,04,2-3-二甲基丁烷,0.48,ppb
大城站,04,2-甲基戊烷,1.52,ppb
大城站,04,3-甲基戊烷,1.05,ppb
大城站,04,異戊二烯,0.23,ppb
大城站,04,正己烷,1.31,ppb
大城站,04,甲基環戊烷,0.6,ppb
大城站,04,2-4-二甲基戊烷,0,ppb
大城站,04,苯,6.46,ppb
大城站,04,環己烷,0,ppb
大城站,04,2-甲基己烷,0.58,ppb
大城站,04,2-3-二甲基戊烷,0,ppb
大城站,04,3-Methylhexane,1.07,ppb
大城站,04,2-2-4-三甲基戊烷,1.04,ppb
大城站,04,正庚烷,1.01,ppb
大城站,04,甲基環己烷,0.26,ppb
大城站,04,2-3-4-三甲基戊烷,0.38,ppb
大城站,04,甲苯,20.65,ppb
大城站,04,2-甲基庚烷,0,ppb
大城站,04,3-甲基庚烷,0,ppb
大城站,04,正辛烷,0.26,ppb
大城站,04,乙苯,1.08,ppb
大城站,04,間-對二甲苯,4.33,ppb
大城站,04,苯乙烯,0,ppb
大城站,04,鄰二甲苯,1.47,ppb
大城站,04,正壬烷,0.3,ppb
大城站,04,異丙基苯,0.61,ppb
大城站,04,正丙基苯,0.11,ppb
大城站,04,間-乙基甲苯,0.87,ppb
大城站,04,對-乙基甲苯,0,ppb
大城站,04,1-3-5-三甲基苯,0.28,ppb
大城站,04,鄰-乙基甲苯,0.47,ppb
大城站,04,1-2-4-三甲基苯,1.78,ppb
大城站,04,葵烷,0.29,ppb
大城站,04,1-2-3-三甲基苯,0.63,ppb
大城站,04,間-二乙基苯,0,ppb
大城站,04,對-二乙基苯,0.18,ppbv
大城站,04,正十一烷,0.53,ppbv
東石站,04,乙烷,5.79,ppb
東石站,04,乙烯,5.47,ppb
東石站,04,丙烷,15.08,ppb
東石站,04,丙烯,3.68,ppb
東石站,04,異丁烷,6.98,ppb
東石站,04,正丁烷,13.91,ppb
東石站,04,乙炔,3.58,ppb
東石站,04,反2-丁烯,0.92,ppb
東石站,04,1-丁烯,0,ppb
東石站,04,順2-丁烯,0.61,ppb
東石站,04,環戊烷,16.73,ppb
東石站,04,異戊烷,0,ppb
東石站,04,正戊烷,0,ppb
東石站,04,反2-戊烯,0.83,ppb
東石站,04,1-戊烯,0,ppb
東石站,04,順2-戊烯,0,ppb
東石站,04,2-2-二甲基丁烷,0.04,ppb
東石站,04,2-3-二甲基丁烷,0,ppb
東石站,04,2-甲基戊烷,0,ppb
東石站,04,3-甲基戊烷,0,ppb
東石站,04,異戊二烯,0.28,ppb
東石站,04,正己烷,2.18,ppb
東石站,04,甲基環戊烷,1.29,ppb
東石站,04,2-4-二甲基戊烷,0.02,ppb
東石站,04,苯,4.66,ppb
東石站,04,環己烷,0.51,ppb
東石站,04,2-甲基己烷,0.97,ppb
東石站,04,2-3-二甲基戊烷,0.45,ppb
東石站,04,3-Methylhexane,1.08,ppb
東石站,04,2-2-4-三甲基戊烷,1.48,ppb
東石站,04,正庚烷,1.14,ppb
東石站,04,甲基環己烷,0.61,ppb
東石站,04,2-3-4-三甲基戊烷,0.58,ppb
東石站,04,甲苯,96.14,ppb
東石站,04,2-甲基庚烷,1.48,ppb
東石站,04,3-甲基庚烷,0.31,ppb
東石站,04,正辛烷,0.41,ppb
東石站,04,乙苯,4.5,ppb
東石站,04,間-對二甲苯,16.69,ppb
東石站,04,苯乙烯,9.34,ppb
東石站,04,鄰二甲苯,5.77,ppb
東石站,04,正壬烷,0.31,ppb
東石站,04,異丙基苯,0.68,ppb
東石站,04,正丙基苯,0.42,ppb
東石站,04,間-乙基甲苯,1.66,ppb
東石站,04,對-乙基甲苯,0.56,ppb
東石站,04,1-3-5-三甲基苯,0.7,ppb
東石站,04,鄰-乙基甲苯,0.73,ppb
東石站,04,1-2-4-三甲基苯,2.89,ppb
東石站,04,葵烷,0.36,ppb
東石站,04,1-2-3-三甲基苯,1.35,ppb
東石站,04,間-二乙基苯,0.03,ppb
東石站,04,對-二乙基苯,0.33,ppbv
東石站,04,正十一烷,3.07,ppbv
褒忠站,04,乙烷,5.87,ppb
褒忠站,04,乙烯,6.09,ppb
褒忠站,04,丙烷,13.55,ppb
褒忠站,04,丙烯,3.95,ppb
褒忠站,04,異丁烷,11.22,ppb
褒忠站,04,正丁烷,25.4,ppb
褒忠站,04,乙炔,3.98,ppb
褒忠站,04,反2-丁烯,1.43,ppb
褒忠站,04,1-丁烯,2.21,ppb
褒忠站,04,順2-丁烯,1.02,ppb
褒忠站,04,環戊烷,1.94,ppb
褒忠站,04,異戊烷,10.17,ppb
褒忠站,04,正戊烷,4.82,ppb
褒忠站,04,反2-戊烯,0.98,ppb
褒忠站,04,1-戊烯,0.47,ppb
褒忠站,04,順2-戊烯,0.43,ppb
褒忠站,04,2-2-二甲基丁烷,0.15,ppb
褒忠站,04,2-3-二甲基丁烷,0,ppb
褒忠站,04,2-甲基戊烷,0,ppb
褒忠站,04,3-甲基戊烷,0,ppb
褒忠站,04,異戊二烯,0.46,ppb
褒忠站,04,正己烷,6.83,ppb
褒忠站,04,甲基環戊烷,1.73,ppb
褒忠站,04,2-4-二甲基戊烷,0.92,ppb
褒忠站,04,苯,4.76,ppb
褒忠站,04,環己烷,0.57,ppb
褒忠站,04,2-甲基己烷,2.39,ppb
褒忠站,04,2-3-二甲基戊烷,0.89,ppb
褒忠站,04,3-Methylhexane,2.63,ppb
褒忠站,04,2-2-4-三甲基戊烷,2.83,ppb
褒忠站,04,正庚烷,2.3,ppb
褒忠站,04,甲基環己烷,0.61,ppb
褒忠站,04,2-3-4-三甲基戊烷,1.06,ppb
褒忠站,04,甲苯,46.01,ppb
褒忠站,04,2-甲基庚烷,0.44,ppb
褒忠站,04,3-甲基庚烷,0.62,ppb
褒忠站,04,正辛烷,0.69,ppb
褒忠站,04,乙苯,2.62,ppb
褒忠站,04,間-對二甲苯,9.02,ppb
褒忠站,04,苯乙烯,0.99,ppb
褒忠站,04,鄰二甲苯,3.56,ppb
褒忠站,04,正壬烷,0.45,ppb
褒忠站,04,異丙基苯,0.73,ppb
褒忠站,04,正丙基苯,0.71,ppb
褒忠站,04,間-乙基甲苯,3.07,ppb
褒忠站,04,對-乙基甲苯,1.34,ppb
褒忠站,04,1-3-5-三甲基苯,1.18,ppb
褒忠站,04,鄰-乙基甲苯,1.32,ppb
褒忠站,04,1-2-4-三甲基苯,5.07,ppb
褒忠站,04,葵烷,0.52,ppb
褒忠站,04,1-2-3-三甲基苯,2.16,ppb
褒忠站,04,間-二乙基苯,0.6,ppb
褒忠站,04,對-二乙基苯,0.7,ppbv
褒忠站,04,正十一烷,0.56,ppbv
崙背站,04,乙烷,5.37,ppb
崙背站,04,乙烯,4.64,ppb
崙背站,04,丙烷,12.77,ppb
崙背站,04,丙烯,2.42,ppb
崙背站,04,異丁烷,5.79,ppb
崙背站,04,正丁烷,12.04,ppb
崙背站,04,乙炔,2.38,ppb
崙背站,04,反2-丁烯,0.74,ppb
崙背站,04,1-丁烯,1.64,ppb
崙背站,04,順2-丁烯,0.46,ppb
崙背站,04,環戊烷,1.12,ppb
崙背站,04,異戊烷,4.39,ppb
崙背站,04,正戊烷,2.42,ppb
崙背站,04,反2-戊烯,0.38,ppb
崙背站,04,1-戊烯,0.24,ppb
崙背站,04,順2-戊烯,0,ppb
崙背站,04,2-2-二甲基丁烷,0,ppb
崙背站,04,2-3-二甲基丁烷,1.48,ppb
崙背站,04,2-甲基戊烷,1.35,ppb
崙背站,04,3-甲基戊烷,0,ppb
崙背站,04,異戊二烯,0.16,ppb
崙背站,04,正己烷,0.76,ppb
崙背站,04,甲基環戊烷,0.77,ppb
崙背站,04,2-4-二甲基戊烷,0,ppb
崙背站,04,苯,2.97,ppb
崙背站,04,環己烷,0.42,ppb
崙背站,04,2-甲基己烷,1.11,ppb
崙背站,04,2-3-二甲基戊烷,0.67,ppb
