station,time,item,value,unit
大城站,06,乙烷,1.83,ppb
大城站,06,乙烯,1.7,ppb
大城站,06,丙烷,2.45,ppb
大城站,06,丙烯,0.94,ppb
大城站,06,異丁烷,0.93,ppb
大城站,06,正丁烷,1.78,ppb
大城站,06,乙炔,5.36,ppb
大城站,06,反2-丁烯,0.33,ppb
大城站,06,1-丁烯,0.74,ppb
大城站,06,順2-丁烯,0.17,ppb
大城站,06,環戊烷,0.23,ppb
大城站,06,異戊烷,1.11,ppb
大城站,06,正戊烷,0.54,ppb
大城站,06,反2-戊烯,0.28,ppb
大城站,06,1-戊烯,0,ppb
大城站,06,順2-戊烯,0,ppb
大城站,06,2-2-二甲基丁烷,0,ppb
大城站,06,2-3-二甲基丁烷,0.29,ppb
大城站,06,2-甲基戊烷,0.39,ppb
大城站,06,3-甲基戊烷,0.25,ppb
大城站,06,異戊二烯,0.25,ppb
大城站,06,正己烷,0,ppb
大城站,06,甲基環戊烷,0,ppb
大城站,06,2-4-二甲基戊烷,0,ppb
大城站,06,苯,0.36,ppb
大城站,06,環己烷,0,ppb
大城站,06,2-甲基己烷,0,ppb
大城站,06,2-3-二甲基戊烷,0,ppb
大城站,06,3-Methylhexane,0,ppb
大城站,06,2-2-4-三甲基戊烷,0,ppb
大城站,06,正庚烷,0,ppb
大城站,06,甲基環己烷,0,ppb
大城站,06,2-3-4-三甲基戊烷,0,ppb
大城站,06,甲苯,2.89,ppb
大城站,06,2-甲基庚烷,0,ppb
大城站,06,3-甲基庚烷,0,ppb
大城站,06,正辛烷,0,ppb
大城站,06,乙苯,0.91,ppb
大城站,06,間-對二甲苯,4.67,ppb
大城站,06,苯乙烯,0,ppb
大城站,06,鄰二甲苯,1.11,ppb
大城站,06,正壬烷,0,ppb
大城站,06,異丙基苯,0,ppb
大城站,06,正丙基苯,0,ppb
大城站,06,間-乙基甲苯,0.41,ppb
大城站,06,對-乙基甲苯,0,ppb
大城站,06,1-3-5-三甲基苯,0.17,ppb
大城站,06,鄰-乙基甲苯,0.19,ppb
大城站,06,1-2-4-三甲基苯,1.28,ppb
大城站,06,葵烷,0,ppb
大城站,06,1-2-3-三甲基苯,0.32,ppb
大城站,06,間-二乙基苯,0,ppb
大城站,06,對-二乙基苯,0,ppbv
大城站,06,正十一烷,0,ppbv
東石站,06,乙烷,1.43,ppb
東石站,06,乙烯,1.15,ppb
東石站,06,丙烷,2.73,ppb
東石站,06,丙烯,0.42,ppb
東石站,06,異丁烷,1.22,ppb
東石站,06,正丁烷,2.01,ppb
東石站,06,乙炔,2.34,ppb
東石站,06,反2-丁烯,0,ppb
東石站,06,1-丁烯,0.98,ppb
東石站,06,順2-丁烯,0,ppb
東石站,06,環戊烷,0.31,ppb
東石站,06,異戊烷,0.85,ppb
