station,time,item,value,unit
大城站,06,乙烷,2.59,ppb
大城站,06,乙烯,3.19,ppb
大城站,06,丙烷,1.99,ppb
大城站,06,丙烯,1.03,ppb
大城站,06,異丁烷,0.83,ppb
大城站,06,正丁烷,1.31,ppb
大城站,06,乙炔,1.95,ppb
大城站,06,反2-丁烯,0.08,ppb
大城站,06,1-丁烯,0.26,ppb
大城站,06,順2-丁烯,0.05,ppb
大城站,06,環戊烷,0.11,ppb
大城站,06,異戊烷,0.7,ppb
大城站,06,正戊烷,0.4,ppb
大城站,06,反2-戊烯,0.03,ppb
大城站,06,1-戊烯,0.03,ppb
大城站,06,順2-戊烯,0,ppb
大城站,06,"2,2-二甲基丁烷",0,ppb
大城站,06,"2,3-二甲基丁烷",0.17,ppb
大城站,06,2-甲基戊烷,0.19,ppb
大城站,06,3-甲基戊烷,0,ppb
大城站,06,異戊二烯,0.07,ppb
大城站,06,正己烷,0.44,ppb
大城站,06,甲基環戊烷,0.16,ppb
大城站,06,"2,4-二甲基戊烷",0,ppb
大城站,06,苯,0.79,ppb
大城站,06,環己烷,0.08,ppb
大城站,06,2-甲基己烷,0.12,ppb
大城站,06,"2,3-二甲基戊烷",0,ppb
大城站,06,3-甲基己烷,0.19,ppb
大城站,06,"2,2,4-三甲基戊烷",0.1,ppb
大城站,06,正庚烷,0.09,ppb
大城站,06,甲基環己烷,0.05,ppb
大城站,06,"2,3,4-三甲基戊烷",0.04,ppb
大城站,06,甲苯,2.97,ppb
大城站,06,2-甲基庚烷,0.01,ppb
大城站,06,3-甲基庚烷,0.01,ppb
大城站,06,正辛烷,0.02,ppb
大城站,06,乙苯,0.15,ppb
大城站,06,"間,對二甲苯",0.45,ppb
大城站,06,苯乙烯,0,ppb
大城站,06,鄰二甲苯,0.16,ppb
大城站,06,正壬烷,0.01,ppb
大城站,06,異丙基苯,0,ppb
大城站,06,正丙基苯,0,ppb
大城站,06,間-乙基甲苯,0,ppb
大城站,06,對-乙基甲苯,0.1,ppb
大城站,06,"1,3,5-三甲基苯",0.07,ppb
大城站,06,鄰-乙基甲苯,0.05,ppb
大城站,06,"1,2,4-三甲基苯",0.28,ppb
大城站,06,葵烷,0,ppb
大城站,06,"1,2,3-三甲基苯",0.02,ppb
大城站,06,間-二乙基苯,0.01,ppb
大城站,06,對-二乙基苯,0.01,ppbv
大城站,06,正十一烷,0.03,ppbv
東石站,06,乙烷,2.71,ppb
東石站,06,乙烯,2.31,ppb
東石站,06,丙烷,1.79,ppb
東石站,06,丙烯,0.74,ppb
東石站,06,異丁烷,1,ppb
東石站,06,正丁烷,1.83,ppb
東石站,06,乙炔,1.57,ppb
東石站,06,反2-丁烯,0.06,ppb
東石站,06,1-丁烯,0.2,ppb
東石站,06,順2-丁烯,0,ppb
東石站,06,環戊烷,0,ppb
東石站,06,異戊烷,0.78,ppb
東石站,06,正戊烷,0.4,ppb
東石站,06,反2-戊烯,0.02,ppb
東石站,06,1-戊烯,0,ppb
東石站,06,順2-戊烯,0,ppb
東石站,06,"2,2-二甲基丁烷",0,ppb
東石站,06,"2,3-二甲基丁烷",0,ppb
東石站,06,2-甲基戊烷,0.17,ppb
東石站,06,3-甲基戊烷,0,ppb
東石站,06,異戊二烯,0,ppb
東石站,06,正己烷,0.47,ppb
東石站,06,甲基環戊烷,0.26,ppb
東石站,06,"2,4-二甲基戊烷",0,ppb
東石站,06,苯,0.52,ppb
東石站,06,環己烷,0.11,ppb
東石站,06,2-甲基己烷,0.13,ppb
東石站,06,"2,3-二甲基戊烷",0.05,ppb
東石站,06,3-甲基己烷,0.11,ppb
東石站,06,"2,2,4-三甲基戊烷",0.11,ppb
東石站,06,正庚烷,0.12,ppb
東石站,06,甲基環己烷,0.11,ppb
東石站,06,"2,3,4-三甲基戊烷",0.04,ppb
